index,title,artist,propertyA,materialA,propertyB,materialB,propertyC,materialC,propertyD,materialD,transform,application,texture,final property,keyword,link
1,Well Proven Chair,Marjan van Aubel James Shaw,plant,timber,bioresin,bioresin, , , , ,mix,furniture,hard,paint,timber wood foam furniture chair rough,http://wellprovenchair.com/about.html
2,Structural Skin,Jorge Penades,animal,leather,bioresin,natural bone glue, , , , ,heat,furniture,hard,material,wood furniture chair table,https://materialdistrict.com/article/structural-skin/
3,Stone Recycling,Tom van Soest,mineral,stone,plastic,plastic, , , , ,mix,construction,hard,rock,brick commercial tile multi-functional,https://www.stonecycling.com
4,Materia Madura,Ana Christina Qui s,plant,plantain waste,metal,aluminium waste,food,coffee, , ,mix,material,hard,material,material Puerto Rico stone location-based coffee metal,http://www.anacristinaqui s.com/index-montauk#/materia-madura
5,Hot Wire Extensions ,Studio Llio Seongil Choi Fabio Hendry,plastic,sls print waste,chemical,silica sand, , , , ,heat,furniture,hard,material,3d-print plastic sls pla mineral structure art,https://www.dezeen.com/2015/06/30/studio-ilio-electricity-form-solid-objects-wire-nylon-powder-3d-printing-waste/
6,Newspaper Wood,Mieke Meijer ,paper,newspaper,chemical,glue, , , , ,compress,construction,hard,wood,wood glue furniture construction commercial tile,https://miekemeijer.com/newspaperwood
7,Micro Urban Mining,Jorien Wiltenburg,metal,electronic (aluminium), , , , , , ,knit,textile,soft,textile,electronics metal knit weave textile metallic,http://jorienwiltenburg.nl/work19.html
8,Precious Plastic,Dave Hakkens,plastic,plastic, , , , , , ,heat,material,hard,bioplastic,plastic melt heat heatpress machine blend shred,https://preciousplastic.com/
9,Joining Bottles,Micaella Pedros,plastic,plastic bottle, , , , , , ,heat,mechanism,hard,bioplastic,joint plastic bottle furniture wood mechanic,https://micaellapedros.com/
10,Forest Pine Wool,Tamara Orjola ,plant,pine needles, , , , , , ,compress,furniture,soft,textile,pine wool carpet soft hard multi-functional furniture chair heatpress,http://tamaraorjola.com/
11,Reconfiguration of a Tree,Thomas Vailly,plant,pinus pinaster,chemical,cellulose,algae,lignin,plant,rosin,heat,resin,hard,material,bio-resin bowl mug mould,http://studiothomasvailly.com/
12,Willow Project,Iceland Academy of the Arts,plant,willow branches,water,water, , , , ,heat,pigment,hard,paint,willow plant,https://www.dezeen.com/2016/03/18/iceland-academy-arts-product-design-students-willow-project-materials-range-designmarch-2016/
13,Sea Me Collection,Studio Nienke Hoogvliet,algae,seaweed, , , , , , ,heat,dye,soft,paint,seaweed algae translucent soft textile chair weave,https://www.nienkehoogvliet.nl/
14,Terroir,Jonas Edvard Nikolaj Steenfatt ,algae,seaweed, , , , , , ,dry,furniture,soft,paint,seaweed composite chair rough furniture hard,https://jonasedvard.dk/work/terroir/
15,Cochayuyo,Sisa Collection,algae,bull kelp, , , , , , ,dry,textile,flexible,textile,clothing textile hard,https://www.sisacollection.com/cochayuyo
16,Cornspan and From Chiang Mai,Apilada Vorachart,plant,corn husk,plant,charcoal, , , , ,heat,material,hard,material,panel sound thermal insulation music,https://materialdistrict.com/material/cornspan/
17,Solidwool,Justin and Hannah Floyd,animal,sheep wool,bioresin,bioresin, , , , ,heat,furniture,hard,furniture,furniture hard,https://www.solidwool.com/about
